                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54468,                0.71483,                 1.0168,                 0.9596,                0.99309,                  0.995,                 0.9302,                0.43196,                0.44992,                0.83382,               0.000375,               0.000375,               0.000375
                      2,                0.54661,                0.56733,                0.99367,                0.95203,                      1,                  0.995,                0.89375,                0.48838,                0.48896,                0.86447,              0.0007474,              0.0007474,              0.0007474
                      3,                0.57938,                0.58275,                 1.0013,                0.79808,                0.98812,                  0.995,                0.90877,                0.49941,                0.74204,                0.85466,              0.0011045,              0.0011045,              0.0011045
                      4,                0.56034,                0.56609,                0.99407,                0.96766,                      1,                  0.995,                 0.9001,                0.49478,                0.45617,                0.84987,              0.0011757,              0.0011757,              0.0011757
                      5,                 0.5922,                0.62294,                0.99954,                0.92612,                0.98335,                  0.995,                 0.8604,                0.54551,                0.47742,                 0.9162,               0.001151,               0.001151,               0.001151
                      6,                0.57327,                0.61269,                 1.0012,                0.91778,                0.99911,                  0.995,                0.88842,                 0.5012,                0.51412,                0.86579,              0.0011263,              0.0011263,              0.0011263
                      7,                0.58046,                0.59931,                 1.0049,                0.96242,                0.99043,                  0.995,                0.93137,                0.45986,                  0.439,                0.84659,              0.0011015,              0.0011015,              0.0011015
                      8,                 0.5713,                0.61394,                 1.0046,                0.97214,                      1,                  0.995,                0.90839,                 0.4468,                0.40077,                0.83094,              0.0010768,              0.0010768,              0.0010768
                      9,                0.59261,                0.60781,                0.99347,                0.93703,                   0.95,                0.94756,                0.83328,                0.53917,                0.76149,                 0.8807,               0.001052,               0.001052,               0.001052
                     10,                0.59905,                0.60589,                0.99745,                0.98485,                0.95584,                  0.995,                0.89964,                 0.5232,                0.50153,                0.89784,              0.0010273,              0.0010273,              0.0010273
                     11,                 0.5663,                0.56341,                 1.0034,                0.98352,                0.95928,                  0.995,                0.90215,                0.47303,                0.42969,                0.86167,              0.0010025,              0.0010025,              0.0010025
                     12,                0.54926,                0.55813,                0.99478,                0.98074,                      1,                  0.995,                0.92259,                0.41041,                 0.3514,                 0.8309,             0.00097775,             0.00097775,             0.00097775
