                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86843,                 3.0424,                 1.2216,                0.43195,                0.36737,                0.39108,                0.35408,                0.48899,                  2.568,                0.85033,               0.000375,               0.000375,               0.000375
                      2,                0.86662,                 2.2717,                 1.1758,                0.44686,                0.71226,                0.65905,                0.48897,                0.71809,                 1.4602,                0.94539,             0.00075998,             0.00075998,             0.00075998
                      3,                0.88025,                  1.833,                  1.199,                0.47672,                0.74091,                0.65121,                0.53904,                0.75273,                 1.5021,                0.96822,              0.0011424,              0.0011424,              0.0011424
                      4,                0.81722,                 1.5294,                 1.1662,                0.61223,                0.68693,                0.75111,                0.59313,                0.80467,                 2.6278,                0.92485,              0.0012376,              0.0012376,              0.0012376
                      5,                0.80319,                 1.3326,                 1.1623,                0.55837,                0.92798,                0.83016,                 0.6026,                0.76655,                 2.4076,                0.91758,              0.0012335,              0.0012335,              0.0012335
                      6,                 0.7931,                 1.2157,                 1.1606,                0.86768,                0.81122,                0.91491,                0.74025,                0.75557,                 1.5755,                 1.0027,              0.0012294,              0.0012294,              0.0012294
                      7,                0.76016,                 1.1512,                 1.1386,                0.59215,                0.80249,                0.85718,                0.69267,                0.73551,                 1.8901,                0.92076,              0.0012252,              0.0012252,              0.0012252
                      8,                0.72764,                 1.0961,                 1.1194,                0.93609,                0.88014,                  0.995,                0.84329,                0.68908,                 0.7865,                0.91061,              0.0012211,              0.0012211,              0.0012211
                      9,                0.71659,                 1.0731,                 1.1123,                0.92204,                    0.9,                0.94917,                0.83385,                0.58249,                0.85088,                 0.8756,               0.001217,               0.001217,               0.001217
                     10,                0.70353,                 1.0321,                 1.1073,                0.80416,                0.77599,                0.90861,                0.77172,                0.58959,                 1.1587,                0.88617,              0.0012129,              0.0012129,              0.0012129
