                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88718,                 3.0842,                 1.1551,                0.45975,                    0.6,                 0.4648,                0.38577,                0.58423,                 2.5306,                0.86126,               0.000375,               0.000375,               0.000375
                      2,                0.91784,                 2.2372,                 1.1315,                 0.4518,                   0.75,                 0.6209,                0.51193,                0.70933,                  1.442,                0.91554,              0.0007474,              0.0007474,              0.0007474
                      3,                0.92339,                 1.8524,                 1.1521,                0.45183,                   0.85,                0.57373,                0.44497,                0.91754,                 3.0181,                  1.125,              0.0011045,              0.0011045,              0.0011045
                      4,                0.86745,                 1.5572,                 1.1265,                 0.7569,                0.79182,                0.87542,                0.70392,                0.76537,                 1.2969,                0.95534,              0.0011757,              0.0011757,              0.0011757
                      5,                 0.8518,                 1.3983,                 1.1114,                0.77086,                0.88943,                0.92071,                0.67977,                0.82093,                 1.8903,                 1.1726,               0.001151,               0.001151,               0.001151
                      6,                0.82307,                 1.2904,                 1.1077,                0.77491,                0.73941,                0.81501,                0.59158,                0.98186,                 1.6895,                 1.2126,              0.0011263,              0.0011263,              0.0011263
                      7,                0.81787,                 1.2549,                 1.1015,                0.84975,                    0.8,                0.90551,                0.72793,                0.62947,                  1.286,                0.92357,              0.0011015,              0.0011015,              0.0011015
                      8,                0.80272,                  1.185,                 1.0851,                0.80085,                   0.85,                0.90643,                0.72643,                0.63541,                 1.1106,                   0.92,              0.0010768,              0.0010768,              0.0010768
                      9,                0.80967,                 1.1683,                 1.0798,                 0.7931,                   0.95,                0.97833,                0.76866,                0.72221,                 1.3482,                0.95502,               0.001052,               0.001052,               0.001052
                     10,                 0.8002,                 1.1259,                  1.083,                0.66203,                0.82053,                0.93346,                0.79235,                0.66646,                 1.0806,                0.94221,              0.0010273,              0.0010273,              0.0010273
                     11,                 0.7573,                 1.0498,                 1.0756,                0.89209,                    0.9,                 0.9459,                 0.8294,                0.62281,                0.80083,                0.90065,              0.0010025,              0.0010025,              0.0010025
                     12,                0.71271,                0.99546,                 1.0562,                0.87684,                0.98719,                  0.995,                0.81281,                 0.6729,                0.91044,                0.94744,             0.00097775,             0.00097775,             0.00097775
                     13,                0.75813,                 1.0424,                  1.063,                0.76753,                0.95222,                  0.995,                0.82574,                0.70745,                0.80638,                0.93104,               0.000953,               0.000953,               0.000953
                     14,                0.72114,                 1.0121,                  1.047,                0.90001,                0.99462,                  0.995,                0.81148,                0.73851,                0.64563,                 0.9477,             0.00092825,             0.00092825,             0.00092825
