                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84893,                 2.7343,                 1.2193,                0.00404,                      1,                0.66886,                0.63973,                    nan,                    nan,                    nan,             0.00025005,             0.00025005,             0.00025005
                      2,                0.73729,                 2.0508,                 1.1459,                0.83114,                    0.5,                0.74625,                0.71634,                    nan,                    nan,                    nan,             0.00034624,             0.00034624,             0.00034624
                      3,                0.72525,                 1.6702,                 1.1289,                0.47768,                      1,                0.81722,                0.78227,                    nan,                    nan,                    nan,             0.00026639,             0.00026639,             0.00026639
