                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84893,                 2.7343,                 1.2193,                0.00404,                      1,                0.66886,                0.63973,                    nan,                    nan,                    nan,             0.00025005,             0.00025005,             0.00025005
                      2,                0.75075,                 1.9774,                   1.15,                0.21737,                    0.4,                0.50155,                0.42304,                    nan,                    nan,                    nan,             0.00051165,             0.00051165,             0.00051165
                      3,                0.77802,                 1.5647,                 1.1518,                0.62045,                      1,                0.89619,                0.65771,                    nan,                    nan,                    nan,             0.00076798,             0.00076798,             0.00076798
                      4,                0.78172,                 1.2967,                 1.1625,                0.97356,                      1,                  0.995,                0.88679,                    nan,                    nan,                    nan,               0.001019,               0.001019,               0.001019
                      5,                0.76422,                 1.0776,                 1.1464,                 0.6639,                      1,                0.88389,                0.66083,                    nan,                    nan,                    nan,              0.0012648,              0.0012648,              0.0012648
                      6,                0.78535,                 1.0142,                 1.1512,                0.84877,                    0.9,                0.91722,                0.77937,                    nan,                    nan,                    nan,              0.0015053,              0.0015053,              0.0015053
                      7,                0.75369,                0.96342,                 1.1446,                0.71708,                    0.9,                0.76667,                0.62928,                    nan,                    nan,                    nan,               0.001568,               0.001568,               0.001568
                      8,                0.75605,                0.93203,                 1.1315,                0.80637,                    0.9,                0.91722,                0.76922,                    nan,                    nan,                    nan,              0.0015515,              0.0015515,              0.0015515
                      9,                0.75235,                0.90853,                  1.128,                 0.6087,                0.91306,                0.90893,                0.66255,                    nan,                    nan,                    nan,               0.001535,               0.001535,               0.001535
                     10,                0.69926,                0.89806,                 1.1074,                0.67119,                0.99106,                0.87458,                0.64309,                    nan,                    nan,                    nan,              0.0015185,              0.0015185,              0.0015185
                     11,                0.70808,                0.88285,                 1.1272,                0.97651,                      1,                  0.995,                0.89044,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                     12,                0.70063,                0.86133,                 1.1204,                0.57211,                    0.9,                 0.9375,                0.86008,                    nan,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     13,                0.66777,                0.85272,                 1.1084,                0.76511,                0.62426,                0.85059,                0.70391,                    nan,                    nan,                    nan,               0.001469,               0.001469,               0.001469
                     14,                0.68494,                 0.8242,                 1.1209,                0.95091,                0.99079,                  0.995,                0.92747,                    nan,                    nan,                    nan,              0.0014525,              0.0014525,              0.0014525
                     15,                0.65283,                 0.7871,                 1.1032,                0.97787,                      1,                  0.995,                0.90517,                    nan,                    nan,                    nan,               0.001436,               0.001436,               0.001436
                     16,                 0.6559,                0.78174,                 1.0918,                0.98035,                      1,                  0.995,                0.88585,                    nan,                    nan,                    nan,              0.0014195,              0.0014195,              0.0014195
                     17,                0.65681,                0.75242,                  1.102,                0.97246,                      1,                  0.995,                0.88878,                    nan,                    nan,                    nan,              0.0014029,              0.0014029,              0.0014029
                     18,                0.63497,                 0.7924,                 1.0849,                0.95109,                    0.9,                0.96643,                0.81148,                    nan,                    nan,                    nan,              0.0013864,              0.0013864,              0.0013864
                     19,                0.63722,                0.70266,                 1.0831,                 0.9879,                      1,                  0.995,                  0.904,                    nan,                    nan,                    nan,              0.0013699,              0.0013699,              0.0013699
                     20,                0.62111,                0.72258,                  1.083,                0.97713,                      1,                  0.995,                0.91263,                    nan,                    nan,                    nan,              0.0013534,              0.0013534,              0.0013534
                     21,                0.63649,                 0.7212,                 1.0778,                0.93209,                      1,                  0.995,                0.90818,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     22,                0.63615,                0.75208,                 1.0964,                0.97515,                      1,                  0.995,                0.86281,                    nan,                    nan,                    nan,              0.0013204,              0.0013204,              0.0013204
                     23,                0.59966,                0.71389,                 1.0726,                 0.9826,                      1,                  0.995,                0.90797,                    nan,                    nan,                    nan,              0.0013039,              0.0013039,              0.0013039
                     24,                0.62455,                0.67182,                 1.0784,                0.98734,                      1,                  0.995,                0.96311,                    nan,                    nan,                    nan,              0.0012874,              0.0012874,              0.0012874
                     25,                0.56485,                0.65281,                 1.0517,                0.98358,                      1,                  0.995,                0.89525,                    nan,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                     26,                0.61233,                 0.7056,                 1.0733,                0.98612,                      1,                  0.995,                0.86608,                    nan,                    nan,                    nan,              0.0012544,              0.0012544,              0.0012544
                     27,                0.60394,                0.67471,                 1.0727,                0.86153,                0.99419,                  0.995,                0.87948,                    nan,                    nan,                    nan,              0.0012379,              0.0012379,              0.0012379
                     28,                0.57182,                0.63571,                 1.0419,                0.98938,                      1,                  0.995,                0.91064,                    nan,                    nan,                    nan,              0.0012214,              0.0012214,              0.0012214
                     29,                0.58435,                0.62787,                 1.0617,                 0.9872,                      1,                  0.995,                0.93178,                    nan,                    nan,                    nan,              0.0012049,              0.0012049,              0.0012049
                     30,                0.57318,                0.62984,                 1.0673,                0.98631,                      1,                  0.995,                0.93324,                    nan,                    nan,                    nan,              0.0011884,              0.0011884,              0.0011884
                     31,                0.59562,                0.63638,                 1.0809,                0.98673,                      1,                  0.995,                 0.9671,                    nan,                    nan,                    nan,              0.0011719,              0.0011719,              0.0011719
                     32,                0.56473,                0.64952,                 1.0606,                0.90359,                    0.9,                0.96167,                0.88882,                    nan,                    nan,                    nan,              0.0011554,              0.0011554,              0.0011554
                     33,                 0.5559,                0.60393,                 1.0583,                0.86135,                0.96108,                  0.995,                0.94455,                    nan,                    nan,                    nan,              0.0011389,              0.0011389,              0.0011389
                     34,                0.56444,                0.61212,                 1.0502,                0.92161,                0.90649,                  0.995,                0.94222,                    nan,                    nan,                    nan,              0.0011224,              0.0011224,              0.0011224
                     35,                0.56447,                0.61344,                 1.0457,                0.97244,                0.91344,                  0.995,                0.91484,                    nan,                    nan,                    nan,              0.0011059,              0.0011059,              0.0011059
                     36,                0.53571,                0.65147,                 1.0409,                 0.9871,                      1,                  0.995,                0.95779,                    nan,                    nan,                    nan,              0.0010894,              0.0010894,              0.0010894
                     37,                0.56039,                0.57792,                 1.0494,                0.97628,                      1,                  0.995,                0.90985,                    nan,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
